Day of outbreak,MCMC,Traced,Nishiura
124,0.013197862654261901,0.008939102849302244,0.03514302374544678
125,0.0218550035988338,0.014732207353464147,0.04099711278507434
126,0.03362246190695224,0.023388661288545262,0.04786107002479842
127,0.02038752708291242,0.011726829854602884,0.04014433216336991
128,0.03118835704539282,0.01889339427922184,0.04688165600984226
129,0.046069838773620024,0.02919348863059757,0.054721712083097014
130,0.06630745069511793,0.04338501598463935,0.0638306266584209
131,0.09257030681151243,0.06209583580121179,0.07434401303404792
132,0.12170863864122336,0.08573764490510048,0.08642006521847748
133,0.15639673771044124,0.11442650243193826,0.10020807892819274
134,0.09590731042358085,0.09581705712708663,0.08318643403974717
135,0.059851382543071305,0.01445895547795844,0.0688606317225091
136,0.03619701631505582,0.005800043226794619,0.05688919373544304
137,0.050806535932537346,0.008890850709592522,0.06534397464310175
138,0.07017487062002822,0.01373424373620426,0.0750011408341278
139,0.09257644383730465,0.02106244572708194,0.08599129711401704
140,0.12266492360976107,0.031650221402426404,0.09844630728935268
141,0.06940246638472887,0.01092879408586198,0.08081599385855069
142,0.09272882485752831,0.017512319073007893,0.0921760656261731
143,0.12070793584939774,0.02704255878096744,0.10493757996630301
144,0.06656472121175822,0.010736110420417087,0.08566049132959717
145,0.08930809451654201,0.01730262880808555,0.0971709928554134
146,0.115170667523593,0.026801788578502038,0.11003181322656304
147,0.06128220982496032,0.014363817005069309,0.08935920774790702
148,0.08334989345766136,0.022486824778812094,0.10086620839877149
149,0.10953824933166971,0.03390198955050413,0.11369812195130403
150,0.14174624769620858,0.04933484323582741,0.1279684793854449
151,0.17855130953018544,0.06935398044845943,0.14376097001795948
152,0.03752910100698124,0.0297354317075113,0.08317462387733374
153,0.05275643024408878,0.041972466142564176,0.0931482639295789
154,0.02802778811319447,0.04133017183395711,0.07490669575567806
155,0.04069906400781285,0.056218991000241754,0.08388676038456412
156,0.057739238229709805,0.07531921736042525,0.09399376867591253
157,0.07949070944067291,0.09920607799535455,0.10536524421777493
158,0.10643342870258486,0.12806157822370992,0.11808670956261438
159,0.13993691764687383,0.1617323206868325,0.1322724785386575
160,0.17677821296667695,0.1997347713925463,0.14797656061088504
161,0.21718177714225267,0.24136061314665136,0.16527518585209527
162,0.26033164421686883,0.285757616597565,0.1842140188724299
163,0.3071536793271827,0.332045733718732,0.20483653796885928
164,0.35747900300404833,0.3792934221911645,0.22712570547266994
165,0.40410847011935486,0.4266558148813965,0.2510553387321356
166,0.4530484951216598,0.47333754595436683,0.27654475872638556
167,0.49703047516636095,0.5187973380709469,0.3035602121297797
168,0.5455352205721812,0.5624384543788643,0.3319878872776547
169,0.5880214011324663,0.6038915057457925,0.36158343358894046
